剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
543,240,127,326,56,29,57,72,14,61,26,23,15,2,67,63,10,15,1746,0.310996564,0.137457045,0.072737686,0.186712486,0.03207331,0.016609393,0.032646048,0.041237113,0.008018328,0.034936999,0.01489118,0.013172967,0.008591065,0.001145475,0.038373425,0.036082474,0.005727377,0.008591065
219,114,49,51,29,32,28,38,21,31,8,6,2,1,25,19,19,3,695,0.315107914,0.164028777,0.070503597,0.073381295,0.041726619,0.046043165,0.04028777,0.054676259,0.030215827,0.044604317,0.011510791,0.008633094,0.002877698,0.001438849,0.035971223,0.027338129,0.027338129,0.004316547
442,92,67,128,40,42,73,61,13,81,45,22,21,3,44,36,26,5,1241,0.356164384,0.074133763,0.053988719,0.103142627,0.032232071,0.033843674,0.058823529,0.049153908,0.010475423,0.065269944,0.03626108,0.017727639,0.016921837,0.002417405,0.035455278,0.029008864,0.020950846,0.004029009
982,420,201,330,137,144,188,245,93,146,86,51,44,7,116,120,64,20,3394,0.289334119,0.12374779,0.059222157,0.097230407,0.040365351,0.042427814,0.055391868,0.072186211,0.027401296,0.043017089,0.025338833,0.015026517,0.012964054,0.002062463,0.034177961,0.035356511,0.018856806,0.005892752
376,124,127,91,53,16,43,79,76,55,20,34,28,12,38,50,10,4,1236,0.30420712,0.100323625,0.102750809,0.073624595,0.042880259,0.012944984,0.034789644,0.063915858,0.061488673,0.044498382,0.01618123,0.027508091,0.022653722,0.009708738,0.030744337,0.040453074,0.008090615,0.003236246
757,240,119,120,59,190,57,72,41,70,86,107,45,3,52,65,208,3,2294,0.329991282,0.10462075,0.051874455,0.052310375,0.025719268,0.08282476,0.024847428,0.031386225,0.017872711,0.030514385,0.037489102,0.046643418,0.019616391,0.001307759,0.022667829,0.028334786,0.090671316,0.001307759
960,355,395,175,182,53,258,397,118,313,82,67,50,33,102,149,38,12,3739,0.256753143,0.094945173,0.10564322,0.046803958,0.048676117,0.014174913,0.069002407,0.106178122,0.03155924,0.083712223,0.021930998,0.01791923,0.01337256,0.008825889,0.027280021,0.039850227,0.010163145,0.003209414
748,400,261,196,152,132,192,179,139,152,27,31,27,6,103,113,76,4,2938,0.254594963,0.136147039,0.088835943,0.066712049,0.051735875,0.044928523,0.065350579,0.0609258,0.047311096,0.051735875,0.009189925,0.010551396,0.009189925,0.002042206,0.035057862,0.038461538,0.025867937,0.00136147
683,300,252,147,223,640,90,124,73,94,45,38,26,7,127,102,70,9,3050,0.223934426,0.098360656,0.082622951,0.048196721,0.073114754,0.209836066,0.029508197,0.040655738,0.023934426,0.030819672,0.014754098,0.012459016,0.00852459,0.002295082,0.041639344,0.033442623,0.02295082,0.00295082
982,353,208,288,134,168,112,125,41,134,77,67,52,13,100,100,78,33,3065,0.320391517,0.115171289,0.067862969,0.093964111,0.043719413,0.054812398,0.036541599,0.040783034,0.013376835,0.043719413,0.025122349,0.021859706,0.016965742,0.004241436,0.032626427,0.032626427,0.025448613,0.010766721
