0,1,2
波斯语课,1.015183344,1
除暴,1.011986043,1
哥斯拉大战金刚,1.010640497,1
午夜巴黎,1.009903341,1
生存家族,1.008874108,1
赴汤蹈火,1.004680218,1
攀登者,1.003551467,1
新神榜：哪吒重生,1.002417041,1
大卫·戈尔的一生,1.002416898,1
垫底辣妹,0.998827887,1
大象席地而坐,0.997669346,1
送我上青云,0.995016157,1
决战中途岛,0.990157784,1
星球大战8：最后的绝地武士,0.987137763,1
小丑回魂,0.981729949,1
后天,0.981408354,1
虎口脱险,0.980446614,1
白蛇：缘起,0.97333726,1
一条狗的使命,0.973025993,1
八恶人,0.972470276,1
极盗车神,0.970364991,1
飓风营救,0.969482044,1
星际迷航3：超越星辰,0.969007827,1
目击者之追凶,0.965557799,1
功夫熊猫3,0.96102684,1
电话,0.957911656,1
困在时间里的父亲,0.957651993,1
我是谁：没有绝对安全的系统,0.957585431,1
南山的部长们,0.954066644,1
鬼魅浮生,0.948700438,1
甲方乙方,0.947890715,1
神偷奶爸2,0.941138035,1
杀死比尔2,0.939724844,1
金刚川,0.937881291,1
我是路人甲,0.936616128,1
燃烧女子的肖像,0.925345938,1
我是布莱克,0.924897589,1
母亲,0.924840513,1
血钻,0.92373151,1
帕丁顿熊2,0.917892741,1
笑傲江湖2：东方不败,0.906917514,1
记忆碎片,0.904024796,1
美国队长2,0.902289509,1
受益人,0.899010905,1
沦落人,0.898027398,1
疾速追杀2,0.896031628,1
理查德·朱维尔的哀歌,0.894711027,1
鹿鼎记2：神龙教,0.891910069,1
鲨滩,0.891622085,1
红高粱,0.890738842,1
明日边缘,0.890701564,1
女间谍,0.889117119,1
忌日快乐,0.888764047,1
和莎莫的500天,0.885578527,1
奇幻森林,0.884943907,1
新喜剧之王,0.883533893,1
欢乐好声音,0.883444389,1
完美的世界,0.882721301,1
玩具总动员3,0.881751905,1
速度与激情7,0.880603381,1
小森林 冬春篇,0.878737289,1
侍神令,0.875746821,1
东邪西毒：终极版,0.871025121,1
乐高蝙蝠侠大电影,0.870592613,1
黄海,0.86703595,1
佛罗里达乐园,0.866665826,1
